"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.decodeDecEntity:()Z","5","0","3","0","0","104","38","545.7844613981329","20.0","10915.689227962657","0.18192815379937763","0","0","1","60","44","","throwUnexpectedChar decodeCharForError reportEntityOverflow","","XMLStreamException","","protected final","16"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.decodeGeneralEntity:(Lcom/fasterxml/aalto/in/PName;)I","2","1","3","2","0","94","45","516.2341910549894","9.0","4646.107719494905","0.17207806368499648","0","1","0","53","41","String PName","throwUnexpectedChar decodeCharForError","getPrefixedName toString <init> append","XMLStreamException","","protected final","15"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleStartElementStart:(B)I","1","1","2","1","0","35","19","148.67746297052548","5.0","743.3873148526275","0.04955915432350849","0","0","0","20","15","PName","parseNewName handleStartElement initStartElement","","XMLStreamException","","protected","7"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleStartElement:()I","31","0","8","3","3","607","74","3769.138192936773","102.0","384452.09567955084","1.256379397645591","0","0","10","366","241","PName","throwInternal parseNewName decodeCharForError markLF initAttribute parsePName finishStartElement throwUnexpectedChar initStartElement handleNsDecl handleAttrValue throwInvalidSpace handlePartialCR","","XMLStreamException","","protected","99"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.initStartElement:(Lcom/fasterxml/aalto/in/PName;)V","2","1","2","2","0","75","29","364.34857463456797","14.0","5100.880044883952","0.12144952487818932","0","1","0","42","33","String PName","bindName","getPrefix isBound <init>","","","private","12"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.initAttribute:(B)V","6","1","6","2","0","111","39","586.6796462937097","18.0","10560.233633286774","0.1955598820979032","0","0","0","64","47","String PName","bindName","getPrefix getLocalName isBound startNewValue","","","private","18"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.finishStartElement:(Z)I","6","1","5","1","0","122","39","644.8190707011944","18.0","11606.7432726215","0.21493969023373147","0","0","1","68","54","PName","reportInputProblem reportUnboundPrefix","finishLastValue getName isBound getCount getErrorMsg","XMLStreamException","","private","16"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleEndElementStart:()I","14","0","8","1","0","485","74","3011.584882330041","64.0","192741.43246912264","1.0038616274433472","0","0","2","298","187","byte[]","throwUnexpectedChar reportUnexpectedEndTag decodeCharForError handleEndElement throwInvalidSpace markLF","sizeInQuads getName getPrefixedName getQuad","XMLStreamException","","private","50"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleEndElement:()I","16","0","5","1","0","375","70","2298.481131354363","68.0","156296.71693209666","0.7661603771181209","0","0","8","229","146","PName","throwInternal throwUnexpectedChar reportUnexpectedEndTag decodeCharForError throwInvalidSpace markLF handlePartialCR","sizeInQuads getPrefixedName getQuad getLastQuad","XMLStreamException","","private","49"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.startCharacters:(B)I","15","1","4","0","0","361","66","2182.0262770884015","68.0","148377.7868420113","0.7273420923628005","0","0","0","219","142","","throwInternal reportInvalidInitial finishCharacters decodeUtf8_2 decodeUtf8_3 finishCharactersCoalescing markLF decodeUtf8_4 handleInvalidXmlChar","resetWithSurrogate resetWithChar","XMLStreamException","","protected final","50"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.finishCharacters:()V","35","0","13","3","3","660","81","4184.301001903853","126.0","527221.9262398855","1.3947670006346176","18","0","6","393","267","byte[] char[] int[]","throwInternal reportIllegalCDataEnd reportInvalidInitial decodeUtf8_2 decodeUtf8_3 handleEntityInCharacters markLF decodeUtf8_4 handleInvalidXmlChar","getBufferWithoutReset getCurrentLength finishCurrentSegment setCurrentLength","XMLStreamException","","protected final","98"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleEntityInCharacters:()I","19","0","2","0","0","330","44","1801.6124341503082","36.0","64858.0476294111","0.6005374780501027","0","0","0","207","123","","handleHexEntityInCharacters handleDecEntityInCharacters","","XMLStreamException","","protected","30"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleDecEntityInCharacters:(I)I","5","1","5","0","0","106","38","556.28031642502","18.0","10013.04569565036","0.18542677214167336","0","0","1","58","48","","throwUnexpectedChar decodeCharForError reportEntityOverflow verifyXmlChar","","XMLStreamException","","protected","16"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleHexEntityInCharacters:(I)I","9","1","5","0","0","148","44","807.99587955832","20.0","16159.917591166399","0.2693319598527733","0","0","1","84","64","","throwUnexpectedChar decodeCharForError reportEntityOverflow verifyXmlChar","","XMLStreamException","","protected","21"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleAndAppendPending:()Z","9","0","9","0","0","458","54","2635.7384759908687","105.0","276752.5399790412","0.8785794919969562","0","0","0","280","178","","throwInternal decodeUtf8_2 decodeUtf8_3 markLF decodeUtf8_4","appendSurrogate append","XMLStreamException","","private final","52"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.skipCharacters:()Z","27","0","10","2","3","453","66","2738.1105360693796","114.0","312144.60111190926","0.9127035120231265","12","0","4","279","174","byte[] int[]","reportIllegalCDataEnd skipPending reportInvalidInitial skipUtf8_2 decodeUtf8_3 skipEntityInCharacters markLF decodeUtf8_4 handleInvalidXmlChar","","XMLStreamException","","protected","73"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.skipPending:()Z","15","0","15","2","1","749","73","4636.178594601133","112.0","519252.0025953269","1.5453928648670443","1","0","1","469","280","PName","decodeGeneralEntity decodeDecEntity throwInternal parseEntityName skipUtf8_2 decodeUtf8_3 parseNewEntityName markLF decodeHexEntity reportInputProblem decodeUtf8_4","","XMLStreamException","","private final","111"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.skipEntityInCharacters:()I","19","0","2","0","0","330","44","1801.6124341503082","36.0","64858.0476294111","0.6005374780501027","0","0","0","207","123","","handleHexEntityInCharacters handleDecEntityInCharacters","","XMLStreamException","","private","30"
