"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"org/asteriskjava/config/ConfigElement.rawFormat:(Ljava/lang/StringBuilder;)Ljava/lang/StringBuilder;","2","1","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","protected abstract","1"
"org/asteriskjava/config/ConfigFile.getFilename:()Ljava/lang/String;","2","0","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","public abstract","1"
"org/asteriskjava/config/ConfigFile.getCategories:()Ljava/util/Map;","2","0","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","public abstract","1"
"org/asteriskjava/config/ConfigFile.getValue:(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;","2","2","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","public abstract","1"
"org/asteriskjava/config/ConfigFile.getValues:(Ljava/lang/String;Ljava/lang/String;)Ljava/util/List;","2","2","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","public abstract","1"
"org/asteriskjava/config/ConfigFileImpl.<init>:(Ljava/lang/String;Ljava/util/Map;)V","1","2","2","2","0","17","10","56.472777613085164","2.0","112.94555522617033","0.01882425920436172","0","0","0","9","8","String Map","","<init>","","","public","4"
"org/asteriskjava/config/ConfigFileImpl.getFilename:()Ljava/lang/String;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/asteriskjava/config/ConfigFileImpl.getCategories:()Ljava/util/Map;","3","0","5","5","0","132","51","748.7601451402375","8.0","5990.0811611219","0.24958671504674582","0","7","2","74","58","ConfigVariable Category List Map ConfigElement","","next add getValue iterator getName values getElements hasNext toString <init> append put","","","public","13"
"org/asteriskjava/config/ConfigFileImpl.getValue:(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;","3","2","5","5","0","62","28","298.0560051675714","5.0","1490.280025837857","0.0993520017225238","0","3","1","36","26","String ConfigVariable Category ConfigElement","getCategory","next getValue iterator getName getElements equals hasNext","","","public","10"
"org/asteriskjava/config/ConfigFileImpl.getValues:(Ljava/lang/String;Ljava/lang/String;)Ljava/util/List;","4","2","6","6","0","75","35","384.6962262708725","7.0","2692.8735838961074","0.12823207542362416","0","4","1","42","33","String ConfigVariable Category List ConfigElement","getCategory","next add getValue iterator getName getElements equals hasNext <init>","","","public","11"
