"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.clone:()Lcom/google/protobuf/MessageLite$Builder;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","clone","","","","public volatile","1"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.buildPartial:()Lcom/google/protobuf/MessageLite;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","buildPartial","","","","public volatile","1"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.build:()Lcom/google/protobuf/MessageLite;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","build","","","","public volatile","1"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.clear:()Lcom/google/protobuf/MessageLite$Builder;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","clear","","","","public volatile","1"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.getDefaultInstanceForType:()Lcom/google/protobuf/MessageLite;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","getDefaultInstanceForType","","","","public volatile","1"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.clone:()Ljava/lang/Object;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","clone","","CloneNotSupportedException","","public volatile","1"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.access$1300:()Lsu/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder;","1","0","0","0","0","3","3","4.754887502163469","1.0","4.754887502163469","0.0015849625007211565","0","0","0","2","1","","create","","","","static","1"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge.<init>:(Lcom/google/protobuf/GeneratedMessageLite$Builder;)V","1","1","1","1","0","25","13","92.5109929535273","3.0","277.5329788605819","0.030836997651175767","0","0","0","14","11","GeneratedMessageLite$Builder","","getUnknownFields <init>","","","private","5"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge.<init>:(Z)V","1","1","1","0","0","21","12","75.28421251514429","3.0","225.85263754543286","0.025094737505048096","0","0","0","12","9","","","<init>","","","private","4"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge.getDefaultInstance:()Lsu/litvak/chromecast/api/v2/CastChannel$AuthChallenge;","1","0","0","0","0","3","3","4.754887502163469","1.0","4.754887502163469","0.0015849625007211565","0","0","0","2","1","","","","","","public static","1"
