"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"net/wouterdanes/docker/maven/HelpMojo.execute:()V","11","0","10","10","1","327","78","2055.3265255679553","22.0","45217.18356249502","0.6851088418559851","1","6","1","168","159","Document StringBuilder String Node List","getSingleChild getValue build writeGoal getLog isNotEmpty findNamedChild append","next warn contains iterator size isInfoEnabled length toString hasNext <init> append info","MojoExecutionException","","public","31"
"net/wouterdanes/docker/maven/HelpMojo.isNotEmpty:(Ljava/lang/String;)Z","3","1","1","1","0","12","10","39.863137138648355","4.0","159.45254855459342","0.013287712379549451","0","0","0","9","3","String","","length","","","private static","1"
"net/wouterdanes/docker/maven/HelpMojo.getValue:(Lorg/w3c/dom/Node;Ljava/lang/String;)Ljava/lang/String;","1","2","2","2","0","11","9","34.86917501586544","2.0","69.73835003173087","0.011623058338621813","0","0","0","6","5","String Node","getSingleChild","getTextContent","MojoExecutionException","","private","1"
"net/wouterdanes/docker/maven/HelpMojo.getSingleChild:(Lorg/w3c/dom/Node;Ljava/lang/String;)Lorg/w3c/dom/Node;","1","2","3","3","0","75","32","375.0","7.0","2625.0","0.125","0","5","0","41","34","String Node List","findNamedChild","size get isEmpty toString <init> append","MojoExecutionException","MojoExecutionException","private","6"
"net/wouterdanes/docker/maven/HelpMojo.findNamedChild:(Lorg/w3c/dom/Node;Ljava/lang/String;)Ljava/util/List;","3","2","6","5","0","54","30","264.97209216286","8.0","2119.77673730288","0.08832403072095334","0","1","1","30","24","String NodeList Node List","","add item equals getLength getNodeName <init> getChildNodes","","","private","8"
"net/wouterdanes/docker/maven/HelpMojo.findSingleChild:(Lorg/w3c/dom/Node;Ljava/lang/String;)Lorg/w3c/dom/Node;","1","2","3","3","0","54","32","270.0","7.0","1890.0","0.09","0","3","0","31","23","String Node List","findNamedChild","size get isEmpty toString <init> append","MojoExecutionException","MojoExecutionException","private","6"
"net/wouterdanes/docker/maven/HelpMojo.writeGoal:(Ljava/lang/StringBuilder;Ljava/lang/String;Lorg/w3c/dom/Element;)V","11","3","10","10","0","235","59","1382.4211166000327","16.0","22118.737865600524","0.46080703886667757","0","3","1","123","112","StringBuilder String Node List Element","getSingleChild getValue writeParameter isNotEmpty findSingleChild findNamedChild append","next iterator equals length toString hasNext getTextContent <init> append","MojoExecutionException","","private","23"
"net/wouterdanes/docker/maven/HelpMojo.writeParameter:(Ljava/lang/StringBuilder;Lorg/w3c/dom/Node;Lorg/w3c/dom/Node;)V","8","3","9","9","0","214","52","1219.8940996821939","14.0","17078.517395550713","0.4066313665607313","0","5","0","109","105","String StringBuilder Node Element","getValue isNotEmpty getPropertyFromExpression findSingleChild append","getAttribute equals hasAttribute toString getTextContent <init> append","MojoExecutionException","","private","19"
"net/wouterdanes/docker/maven/HelpMojo.repeat:(Ljava/lang/String;I)Ljava/lang/String;","2","2","4","2","0","38","24","174.22857502740396","7.0","1219.6000251918276","0.058076191675801324","0","1","1","22","16","String StringBuilder","","length toString <init> append","","","private static","5"
"net/wouterdanes/docker/maven/HelpMojo.append:(Ljava/lang/StringBuilder;Ljava/lang/String;I)V","2","3","4","3","0","44","28","211.52361657053456","6.0","1269.1416994232072","0.07050787219017819","0","1","1","24","20","String StringBuilder","toLines","next iterator hasNext append","","","private","4"
"net/wouterdanes/docker/maven/HelpMojo.toLines:(Ljava/lang/String;III)Ljava/util/List;","2","4","8","5","0","75","38","393.5945635082689","8.0","3148.756508066151","0.13119818783608964","0","2","1","40","35","String List String[]","repeat toLines","split toString <init> append","","","private static","7"
"net/wouterdanes/docker/maven/HelpMojo.toLines:(Ljava/util/List;Ljava/lang/String;II)V","7","4","10","5","0","178","57","1038.2544225213242","26.0","26994.614985554428","0.34608480750710807","0","1","2","101","77","String StringBuilder List String[]","getIndentLevel repeat","add setLength split length toString <init> append charAt","","","private static","21"
"net/wouterdanes/docker/maven/HelpMojo.getIndentLevel:(Ljava/lang/String;)I","6","1","4","1","0","69","21","303.0699021717345","28.0","8485.957260808565","0.1010233007239115","0","0","2","40","29","String","","length charAt","","","private static","10"
"net/wouterdanes/docker/maven/HelpMojo.getPropertyFromExpression:(Ljava/lang/String;)Ljava/lang/String;","4","1","1","1","0","38","18","158.45715005480787","5.0","792.2857502740394","0.05281905001826929","0","0","0","23","15","String","","contains endsWith length substring startsWith","","","private","4"
"net/wouterdanes/docker/maven/PushImageMojo.<init>:()V","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","<init>","","","public","1"
